name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,South America,2592.710818,2599.008309,2641.021632,2610.185487,2458.021358,2511.974665,2512.519737,2534.3331,2592.376265,2688.508426,2772.214728,2913.479828,3068.477266,3131.177668,3137.695335,3218.071704,3362.4656
Croatia,Europe,3900.57775,4292.387366,4495.244255,4656.415629,4554.228345,4861.67751,5023.530276,5268.59143,5551.571039,5782.066433,6025.455477,6325.674267,6651.741476,6793.44909,6328.630753,6255.239892,6270.035718
Cyprus,Asia,11867.54711,11895.83673,12003.84645,12455.57132,12913.9544,13421.65542,13812.27004,13926.5451,13952.06534,14206.95908,14411.32418,14719.25766,15248.86529,15620.66611,15227.17046,15328.33481,15378.16704
Ecuador,South America,1336.079949,1344.586764,1376.516189,1383.787635,1276.486467,1291.341613,1337.822903,1382.484605,1403.492992,1501.796897,1562.326863,1610.967343,1618.868002,1710.53306,1692.067197,1728.052156,1837.008584
Egypt,Africa,1248.732698,1289.080933,1337.008939,1367.342647,1425.764651,1475.84441,1500.522743,1507.929351,1527.274258,1560.38394,1600.321838,1678.954796,1765.869427,1858.858447,1911.964501,1975.550031,1976.61483
Estonia,Europe,2857.309844,3070.57377,3470.31618,3742.410235,3760.748393,4143.927189,4421.712604,4730.724591,5117.241624,5459.038691,5956.419264,6570.330139,7072.435864,6783.903384,5831.010546,6025.713393,6525.541272
Ethiopia,Africa,113.8715341,124.2481159,124.5247598,116.9460052,119.7201104,123.6809168,130.5134412,129.157133,123.2536677,136.6187298,149.1918697,161.5928951,176.1074039,190.8632151,203.2099043,218.6586392,229.6769525
Finland,Europe,18858.96271,19468.15567,20614.91289,21594.65366,22386.62957,23529.53846,24012.15877,24393.37625,24825.00902,25774.06477,26435.02344,27495.24136,28839.22241,28789.54385,26205.68832,26953.22055,27570.4852
France,Europe,19478.17581,19606.05309,19952.90591,20539.07007,21146.39522,21774.99299,22014.02474,22057.63515,22098.99175,22495.24481,22734.23332,23133.35113,23516.22317,23366.40262,22508.76261,22758.15413,23016.84778
Georgia,Asia,486.5342976,554.8445214,624.6432407,650.3959551,674.2867265,691.9977052,730.5256957,775.7127408,867.0840037,920.1250498,998.5338479,1083.08988,1219.448319,1249.004619,1194.460879,1257.179877,1334.646773
Germany,Europe,21061.29653,21166.48499,21502.72144,21899.7529,22295.09966,22945.70885,23254.03991,23217.33203,23117.36188,23390.86265,23564.38517,24463.84647,25297.38539,25620.07539,24368.19561,25420.27572,26206.54827
Ghana,Africa,237.2935875,242.0582959,246.197848,251.7652913,256.7399526,259.9906944,263.9615458,269.2285553,276.4051992,284.8491549,294.4080169,305.7511071,317.7363633,336.3518402,341.5522907,360.3240584,402.6953275
Guatemala,South America,1586.721932,1596.86309,1629.173165,1671.980828,1696.565649,1716.685342,1714.683402,1737.560382,1737.621098,1748.149672,1760.799855,1810.295335,1877.751467,1892.332607,1855.822851,1862.66726,1886.423623
Haiti,North America,410.800483,419.5746005,422.7552785,424.0260576,427.6110467,423.8688942,412.4570771,404.7800182,399.9735878,380.1802308,381.4180505,384.5855208,392.0942297,390.2099781,396.2336071,369.9354744,385.5793827
Hungary,Europe,3883.936315,3896.872814,4026.839407,4200.633731,4347.253839,4542.72072,4722.17501,4949.033726,5154.335096,5413.572662,5639.394595,5868.3017,5884.140962,5947.158309,5551.426337,5633.99099,5745.981529
India,Asia,367.2771625,387.7415214,396.1844388,413.2870519,440.5693093,450.4151061,464.9742607,475.4570581,505.2489363,536.60488,577.6567293,621.8994139,673.004691,689.2731963,735.6318542,794.801256,837.7464011
Indonesia,Asia,799.3099303,848.2471059,875.959217,750.8111959,746.7927777,773.3109699,791.0764547,816.0164079,844.1834857,875.7291576,914.5999046,953.9355312,1003.364434,1052.433389,1089.724014,1145.385435,1206.991065
Iran,Asia,1390.18136,1462.978412,1484.666023,1496.909816,1498.670515,1550.090608,1583.437971,1679.664398,1776.728493,1844.520572,1906.590054,1994.647193,2125.030252,2148.230421,2161.54651,,
Iraq,Asia,,,723.2384415,945.9076309,1145.356427,1063.481473,968.4337599,870.5504153,498.2245661,711.632637,688.9666732,710.2087191,699.7055596,743.6913386,752.1833548,736.2721224,786.3271857
Italy,Europe,17671.40672,17866.89937,18190.67114,18448.79289,18713.35397,19388.27875,19737.24069,19763.83911,19601.25524,19744.88756,19781.95853,20102.23023,20291.22664,19903.45694,18697.21979,18944.41381,18937.24998
Japan,Asia,36177.03484,37026.22945,37518.58086,36674.24535,36531.78124,37291.70616,37342.14473,37363.28744,37911.68993,38793.6216,39295.3062,39965.85551,40837.26664,40433.00131,38242.02429,39971.78745,39578.07441
Jordan,Asia,1723.089546,1706.167718,1709.60361,1708.133111,1734.700478,1764.229892,1811.871989,1870.859069,1901.469356,2015.048627,2129.780417,2250.274213,2380.50934,2497.539317,2577.480413,2579.382449,2588.668961
Kazakhstan,Asia,1022.929651,1043.733143,1078.38076,1076.31023,1115.949686,1229.000958,1397.290433,1534.161602,1671.207074,1818.958816,1977.739368,2166.323302,2332.29493,2380.085304,2345.86415,2481.675284,2629.911409
South Korea,Asia,9548.014842,10119.29924,10491.08182,9701.67292,10546.81217,11346.66499,11710.57982,12478.06366,12764.27199,13303.82,13801.82945,14446.3586,15113.35278,15349.84987,15325.94024,16219.38807,16684.21278
Latvia,Europe,2392.537411,2511.364882,2746.617228,2903.583612,3064.871174,3300.934656,3593.665247,3853.077108,4153.934086,4538.847782,5046.862474,5695.361455,6296.227116,6055.664808,4993.181194,5011.201551,5330.567994
Lebanon,Asia,4642.360019,4775.778817,4591.051699,4694.885926,4615.528049,4612.198672,4718.173498,4794.649971,4865.705023,5147.690669,5129.401773,5103.490175,5436.651885,5895.082206,6350.330241,6745.659909,6896.230909
Libya,Africa,,,,,6366.402935,6479.712522,6084.628534,5891.721227,6529.360896,6681.912629,7194.621728,7458.766454,7736.544274,7865.254376,7885.468037,,
Taiwan,Asia,2535.380653,2687.135042,2909.227045,3153.932319,3142.298633,3267.347443,3505.702768,3759.516239,4162.578654,4492.771404,4873.504234,5287.136551,5839.145602,6041.40902,5179.581644,5332.530607,5793.289777
Lithuania,Europe,2535.380653,2687.135042,2909.227045,3153.932319,3142.298633,3267.347443,3505.702768,3759.516239,4162.578654,4492.771404,4873.504234,5287.136551,5839.145602,6041.40902,5179.581644,5332.530607,5793.289777
Macedonia,Europe,1578.21368,1588.982543,1603.972796,1650.335836,1714.397671,1785.326792,1698.629946,1707.892277,1751.17665,1827.504436,1902.296519,1993.12215,2110.685735,2210.198276,2185.338849,2220.04388,2283.798023
Malaysia,Asia,3581.946302,3842.637758,4022.843596,3636.473102,3767.637015,4005.556325,3933.935077,4052.878748,4194.260799,4385.96954,4529.601248,4695.229726,4905.121369,5057.826663,4901.547097,5168.686016,5345.213415
Mali,Africa,191.5799132,192.4900901,199.984459,206.2589562,213.9847903,214.4665918,233.3020271,235.6609022,245.4620828,243.1253151,249.9919308,255.1821602,258.0305073,262.7028131,266.2421489,273.2537959,272.309384
Mexico,North America,4831.8194,4994.343301,5244.289724,5413.091187,5536.469198,5816.614481,5728.967655,5702.903705,5709.419562,5868.919741,5982.653839,6211.927234,6333.082389,6327.013175,5875.619997,6124.709571,6288.25324
Moldova,Europe,394.704398,374.9297106,381.7709755,357.6285799,346.0159723,354.001668,376.4364351,406.7394258,434.8071406,468.1844927,504.5300652,530.0947081,547.6737738,591.3234616,556.6078798,596.6866117,635.5064743
Montenegro,South America,,,1563.366112,1648.241335,1501.810446,1555.912521,1578.785104,1613.145685,1656.357038,1730.858652,1804.052554,1958.154415,2164.611629,2309.471973,2173.513957,2224.129841,2292.503028
Morocco,Africa,1128.767079,1248.155351,1203.192648,1277.778795,1267.801053,1271.811092,1351.267218,1379.685835,1450.122724,1502.883173,1530.850723,1632.1342,1658.8554,1733.533863,1797.40725,1844.351028,1908.304416
Netherlands,Europe,20428.58654,21027.24752,21814.30431,22530.81727,23429.80294,24179.73141,24460.06539,24322.98355,24289.73919,24746.84398,25194.34122,26007.67914,26968.6177,27348.47436,26210.30536,26501.04582,26634.86005
New Zealand,Oceania,12291.83756,12534.37977,12589.6147,12531.64223,13111.0032,13375.78052,13774.3236,14202.16315,14529.66965,14853.266,15171.59429,15103.23038,15392.50271,15011.18385,14778.16393,14629.2181,14646.42094
Nigeria,Africa,359.4315487,366.2201056,367.4600805,365.7525573,361.20193,371.7680804,374.1686638,370.8107292,399.0619903,430.5797415,442.7179313,458.6349173,476.214166,492.2669892,513.5003377,540.6852114,565.9947974
Norway,Europe,32219.95618,33691.88676,35316.75083,36048.93156,36528.21443,37472.67167,38025.499,38389.08411,38539.90181,39830.41204,40584.24403,41245.80863,41904.21021,41399.70903,40199.34622,39970.29253,40034.85063
Pakistan,Asia,494.7209888,505.2459234,496.9950607,496.5318923,502.1246594,511.7025555,511.1109972,517.5966508,532.9973575,562.283992,594.766855,620.2956378,643.8585182,642.4275373,653.6111759,664.7112698,672.1547506
Peru,South America,1978.016368,1992.578021,2093.207824,2045.292819,2031.631231,2060.576257,2036.157948,2110.139623,2167.734164,2248.410429,2374.297077,2529.840728,2725.815245,2961.787982,2955.186222,3180.374608,3359.517402
Philippines,Asia,982.0315551,1016.311842,1045.458888,1016.775298,1025.551505,1048.070513,1055.807441,1071.690095,1102.215971,1153.022382,1185.37688,1225.045039,1283.46737,1314.225968,1307.139627,1383.404865,1413.366295
Poland,Europe,3409.582827,3619.549273,3873.504441,4065.014617,4249.276744,4454.08022,4532.00606,4599.555503,4780.653149,5039.11715,5223.679776,5552.50127,5932.47441,6235.755172,6332.960478,6574.296118,6854.462537
Puerto Rico,North America,13592.41549,13751.69946,14289.41974,14993.24588,15722.53514,16192.12697,17177.4989,17312.68028,17311.04343,17831.02487,18004.27601,18053.78721,17717.88366,17487.72122,17183.31975,16910.46054,
Romania,Europe,1741.411909,1816.449599,1710.513229,1631.970069,1614.919453,1650.968421,1769.595638,1887.895733,1991.649037,2164.634556,2260.215139,2444.048428,2595.596086,2844.641672,2606.872622,2636.787677,2633.022807
Russia,Europe,1618.123275,1564.115268,1590.6965,1510.542696,1613.698631,1775.141291,1870.048624,1967.518602,2121.289033,2285.363231,2442.962966,2654.200194,2888.847355,3043.665599,2806.41483,2928.005033,3054.727742
Rwanda,Africa,191.2838223,206.9830518,217.168742,214.4013989,211.226038,214.2336989,222.9332294,246.0861869,245.1063996,257.7160008,275.1117623,291.0580268,304.5930038,328.6537842,338.7726933,352.5356203,370.5928566
Serbia,Europe,703.0393203,760.8364081,844.1688402,859.2761753,765.8042703,809.2750794,853.6331911,889.2291466,915.3845234,1002.852496,1060.186883,1102.68089,1166.947567,1216.459267,1178.599695,1194.639994,1223.640529
Singapore,Asia,20571.45946,21258.52785,22305.68363,21092.56352,22221.38452,23814.55661,22913.32124,23658.8657,25110.50033,27068.9741,28388.86966,29925.50494,31246.99685,30131.61718,28949.85732,32640.68442,33529.83052
Slovenia,Europe,8119.111389,8420.53841,8849.863654,9180.932649,9662.969018,10045.36008,10324.38327,10706.20714,11013.26166,11490.68017,11930.45861,12588.10838,13377.91533,13836.18922,12613.67797,12732.04555,12688.65168
South Africa,Africa,2960.422458,3019.966,3029.772513,2974.681189,2972.203412,3019.946367,3039.70613,3108.043654,3159.237852,3264.317383,3397.720015,3548.09031,3704.084266,3795.976906,3697.67368,3753.445365,3825.093781
Spain,Europe,12049.25856,12311.9921,12754.63169,13278.0036,13836.7026,14413.78887,14774.89486,14957.32291,15165.92735,15408.16294,15700.52761,16074.46178,16351.11108,16251.83693,15523.00304,15418.82018,15428.32098
Sweden,Europe,23561.66995,23903.46322,24536.81457,25554.38629,26724.34561,27869.3776,28145.51174,28750.76384,29313.02109,30434.4529,31271.10358,32431.9404,33259.26285,32798.73425,30885.45914,32631.19271,33630.24604
Switzerland,Europe,32841.55514,32855.30719,33445.61911,34258.14203,34571.1485,35639.47886,35854.93258,35650.68774,35394.62871,36003.23264,36737.40672,37877.18249,38983.87532,39324.73112,38084.23568,38826.84298,39170.41371
Tanzania,Africa,283.4259214,288.2452075,290.7819777,294.1719742,300.9189198,307.9861546,318.2627899,332.3711192,346.0724304,363.3474703,379.684133,394.224159,410.6836189,428.7591559,441.5066096,458.7864636,473.8812365
Thailand,Asia,2011.825398,2109.05461,2057.066906,1819.176177,1877.305197,1943.237928,1962.241437,2042.798299,2164.301418,2277.562345,2359.644614,2458.517431,2562.72216,2608.24726,2531.233735,2712.508016,2699.123242
