name,group,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,North America,28.80,27.30,25.80,24.30,22.90,21.60,20.40,19.30,18.20,17.40,16.70,16.20,15.80,15.40,15,14.4,13.8,13.1,12.5,11.9,11.3
Moldova,Europe,31.00,31.30,30.80,29.80,28.10,26.00,23.70,21.50,19.50,18.00,16.90,16.00,15.50,15.20,14.9,14.7,14.5,14.3,14.1,13.9,13.6
Montenegro,South America,13.60,13.60,13.50,13.20,13.00,12.50,12.00,11.50,10.90,10.10,9.50,8.80,8.20,7.40,6.8,6.3,5.7,5.3,4.9,4.6,4.3
Morocco,Africa,51.8,49.7,47.7,45.8,43.9,42.2,40.5,38.9,37.4,35.9,34.50,33.20,31.90,30.70,29.6,28.5,27.4,26.4,25.5,24.6,23.7
Netherlands,Europe,5.70,5.50,5.30,5.30,5.20,5.10,5.00,4.90,4.70,4.60,4.50,4.30,4.20,4.00,3.8,3.7,3.6,3.5,3.3,3.3,3.2
New Zealand,Oceania,7.1,6.9,6.6,6.4,6.2,6.1,5.9,5.8,5.7,5.5,5.4,5.3,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7
Nigeria,Africa,123.40,121.90,119.90,117.50,114.80,112.00,109.00,105.90,102.90,99.80,96.60,93.40,90.30,87.30,84.3,81.5,78.8,76.2,73.8,71.5,69.4
Norway,Europe,4.6,4.4,4.2,4.1,4,4,3.8,3.6,3.5,3.4,3.2,3.1,3,2.9,2.7,2.6,2.5,2.3,2.3,2.2,2
Pakistan,Asia,97.10,95.20,93.30,91.40,89.50,87.70,86.00,84.40,82.90,81.40,80.00,78.70,77.40,76.10,74.8,73.5,72.1,70.6,69.1,67.4,65.8
Peru,South America,42.50,39.70,36.90,34.30,31.80,29.60,27.60,25.70,24.10,22.60,21.30,20.10,19.00,18.00,17.1,16.3,15.6,14.9,14.2,13.6,13.1
Philippines,Asia,33.50,32.60,31.80,31.10,30.50,29.90,29.40,28.90,28.40,27.90,27.40,26.90,26.40,25.90,25.4,24.9,24.4,23.9,23.3,22.8,22.2
Poland,Europe,12.60,11.60,10.40,9.40,8.60,8.10,7.60,7.30,7.00,6.70,6.60,6.30,6.00,5.80,5.3,5,4.7,4.6,4.5,4.5,4.5
Puerto Rico,North America,,,,,,,,,,,,,,,,,,,,,
Romania,Europe,27.30,26.70,26.00,25.00,24.20,23.20,22.40,21.60,20.60,19.50,18.20,16.70,15.30,14.00,13,12.1,11.5,10.9,10.5,10.1,9.7
Russia,Europe,22.2,22,21.6,21.1,20.5,19.7,18.8,17.7,16.6,15.4,14.4,13.3,12.4,11.6,10.9,10.3,9.8,9.3,8.9,8.5,8.2
Rwanda,Africa,129.60,120.30,121.70,121.40,115.20,109.20,102.30,94.10,86.00,77.70,70.20,63.10,56.80,51.50,47.3,43.8,40,37.1,34.7,32.7,31.1
Serbia,Europe,17.00,15.10,13.30,12.00,11.40,10.90,10.60,10.10,9.20,8.30,7.70,7.30,7.10,7.00,6.8,6.6,6.4,6.2,6,6,5.9
